Assay.ID,Gene,Target.Control,T1D_MZ4_25d,T1D_DS3_31d,T1D_DS7_38d,T1D_DS8_31d,T1D_DS9_38d,T1D_MZ4_32d,T1D_DS3_38d,T1D_DS7_73d,T1D_DS8_70d,T1D_DS9_84d,T1D_MZ4_39d,T1D_DS3_52d,T1D_DS7_98d,T1D_DS8_84d,T1D_DS9_91d
Mm00485897_m1,S100b,Target,26.603,25.0685,25.6441,25.9536,25.5492,25.245,23.4556,25.0111,25.4245,25.5006,24.701,25.1618,26.9163,24.8457,24.8493
Mm02619656_s1,S1pr1,Target,24.323,22.9167,NA,21.7893,22.0256,22.236,22.2155,21.4524,21.2823,21.8139,21.466,22.4223,21.6985,21.2458,21.8255
Mm04229896_m1,S1pr3,Target,22.435,21.7946,21.0811,21.0295,20.8347,20.851,22.4876,21.7197,21.1139,20.8929,20.839,21.3381,21.0554,21.0549,20.2643
Mm00656927_g1,Saa1,Target,NA,30.02,30.8322,30.2271,NA,30.519,28.452,27.3117,29.5137,28.8711,27.06,28.2177,29.3903,NA,NA
Mm00441203_m1,Saa3,Target,22.083,21.6254,21.3777,22.1028,21.7571,20.344,21.6949,22.0319,21.7732,20.8366,18.828,20.7448,21.4015,20.9582,22.0359
Mm00468033_g1,Scgb3a1,Target,NA,NA,NA,29.4971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2507
Mm00450762_s1,Scn9a,Target,29.267,30.6338,29.5847,NA,28.9385,29.142,30.6343,NA,NA,NA,NA,NA,NA,NA,NA
Mm00491651_m1,Scube1,Target,30.62,28.9563,28.0723,29.1938,28.8461,28.369,26.9356,28.7624,27.802,28.9148,28.578,28.4633,30.3513,30.4356,29.8355
Mm00489742_m1,Sdcbp,Target,18.407,16.8847,16.3101,16.7331,16.3572,17.171,18.8899,16.5996,16.619,16.6397,16.334,16.5909,16.4335,16.8282,16.778
Mm00459026_m1,Sectm1b,Target,NA,30.6407,29.4799,NA,NA,30.52,29.761,30.0601,29.2275,NA,27.828,NA,NA,30.5247,30.4677
Mm00441278_m1,Sele,Target,28.887,28.1599,27.922,29.133,25.8103,26.741,24.8425,24.6372,25.5873,27.4067,24.72,26.5636,25.6817,25.027,27.463
Mm00441295_m1,Selp,Target,26.35,25.5396,25.0914,24.8379,24.1362,23.675,22.9782,23.0609,23.7561,24.8082,23.399,24.2602,23.6621,24.1973,24.7521
Mm02748447_g1,Serpina1a,Target,NA,NA,NA,NA,NA,NA,NA,15.8398,NA,27.853,25.485,NA,26.4526,26.0198,27.3871
Mm00434669_m1,Serpina3c,Target,25.614,26.6107,27.0774,25.3515,24.4431,24.131,22.3216,23.5824,25.0455,24.2652,22.666,24.75,23.3984,23.2478,25.2006
Mm00435868_m1,Serpinf2,Target,NA,30.4447,28.8408,28.586,30.4961,30.292,NA,NA,29.538,29.2844,NA,NA,30.8397,30.8862,30.5989
Mm00437834_m1,Serping1,Target,17.941,16.9517,16.8324,16.9455,16.839,16.8,17.4331,16.2828,16.6859,16.5281,16.452,16.7896,16.5612,16.7103,16.7991
Mm00499170_m1,Sftpa1,Target,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3038,NA
Mm00517020_m1,Sh2b2,Target,24.179,21.9291,21.5334,21.625,21.106,22.041,22.5513,21.1433,21.5455,21.3792,20.835,21.6799,21.1474,21.212,20.782
Mm00488332_m1,Siglec1,Target,22.714,21.2958,21.2215,21.7539,20.7422,21.444,22.7496,21.4821,21.2968,20.8211,20.164,21.3408,20.7652,21.4187,21.4987
Mm00834449_g1,Siva1,Target,24.351,22.3521,21.719,21.6759,21.5289,22.283,22.7449,21.4284,21.5763,21.6725,21.362,21.741,21.7033,21.7111,21.6056
Mm00453126_m1,Slco1a4,Target,NA,NA,NA,NA,NA,NA,30.9698,NA,NA,NA,29.042,NA,NA,NA,NA
Mm00445117_m1,Slurp1,Target,NA,27.9761,28.6527,26.0705,29.1285,26.467,30.2101,26.9654,26.8021,28.9084,27.259,28.7635,27.3785,26.7535,27.8249
Mm00782550_s1,Socs1,Target,25.607,22.8727,23.1814,23.5078,21.986,22.985,23.8002,22.5362,22.8254,22.5617,21.81,22.9352,23.0694,23.5879,22.7091
Mm00850544_g1,Socs2,Target,22.857,22.6045,21.7562,21.8016,21.4934,20.937,21.3379,20.8926,21.5135,21.6438,20.64,21.8887,21.1035,21.1189,21.3667
Mm01344232_g1,Sod1,Target,21.083,19.5782,18.3893,18.7564,18.7487,19.567,17.9745,17.9205,18.725,18.8012,18.412,18.7433,18.2982,18.3176,18.8153
Mm01700393_g1,Sod1,Target,20.214,18.7475,18.0987,18.1225,18.1744,18.641,17.5152,17.6598,17.9068,18.1576,17.594,18.2359,17.7687,17.6877,18.1852
Mm00436767_m1,Spp1,Target,14.101,12.7986,13.0121,12.6167,13.1403,13.286,18.1178,13.1552,13.7635,13.7048,12.71,13.4686,13.045,13.8326,13.4035
